n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
0,0,1.0701969283020691,39.39637267185543,0.5990020348000606,0.6059787051387743
6,0,1.3117829646785861,39.170493122625594,0.5725286195684147,0.5564746366936486
4,0,1.1477820574347477,39.99669671864029,0.5830338499570945,0.5773530669245506
0,0,1.1221095315394627,39.6126855319428,0.5903927738930914,0.58721697338178
0,0,1.166477234037074,39.33221891645127,0.5813958697162864,0.5766542879659861
2,0,1.1985507418102468,39.074378296624545,0.5762349154430559,0.5623529994360387
2,0,1.2306479012964737,39.8771068454329,0.5838216497103765,0.5859330535357845
6,0,1.4057666033604959,40.11600694412314,0.581441884518262,0.5756395144602424
4,0,1.3191820709311277,38.674396157866894,0.5728628619346717,0.5598293919660693
4,0,1.2784138844668131,39.180209276522184,0.5842106926991328,0.5771691248522041
0,0,1.2431693343215517,38.87970518888174,0.5903113703618561,0.5930486653152799
1,0,1.247501877498195,39.180779543738495,0.5891495912644202,0.5846816936988198
1,0,1.207329159337198,39.96301057078529,0.5756736790067652,0.5676140658550114
4,0,1.3935641536150762,39.45867461764405,0.5968179905507578,0.6023091258404263
2,0,1.3532526628331465,41.477295712545356,0.5832717767690018,0.577188224574992
3,0,1.266110180785541,41.47330810937168,0.5878513669780562,0.5900626520074743
3,0,1.1921875153294954,38.66771438524164,0.5826164860430896,0.576825477101204
1,0,1.1350781127745642,39.28664737548413,0.5865025141508698,0.5875685143076892
1,0,1.144249500193573,39.36630783477631,0.5837429695737331,0.5789468463344218
2,0,1.1956758105919125,39.90422452513593,0.5941021773921992,0.594997650297505
5,1,1.3733774412001807,39.939270181397305,0.604338214417611,0.6154387660708254
4,0,1.2789970899047172,38.76887228859914,0.5868538499869621,0.58414784429141
3,0,1.119450010161863,40.03937264025106,0.5939439257526067,0.5966081122255391
3,0,1.2936442362451324,41.14873219678088,0.5964718327412069,0.5990048925742884
6,1,1.4254952866717097,39.87114182554223,0.5854526967025695,0.582533996508193
1,0,1.1300441849659428,40.62787075328478,0.5830465158152538,0.577731262736022
2,0,1.2499825232961874,39.56384989720503,0.5853670708169372,0.5799812551970538
3,0,1.158833517322357,39.67649759954433,0.5922753225008242,0.5928500299116324
4,0,1.3148965388846443,39.83314167597101,0.5880796823993149,0.5819674699122097
0,0,1.1331395488832274,39.930290511218104,0.5961025329541019,0.5990635230831368
2,0,1.285279917616004,39.20252367954493,0.5995052607069431,0.6047063183391599
0,0,1.1573649889456399,38.534770151517364,0.6041604579675579,0.6148616352037388
3,0,1.2162361547841138,39.43025587304392,0.5777857637316706,0.5719530003197992
5,1,1.2419752342121078,40.418534075988944,0.5807636733366547,0.5727484716660185
2,0,1.2292145609430194,39.152304595662635,0.5999142289459148,0.6021516196383909
