,buy_hold,miss_top_k,gap,volatility,volatility_leaveout,buy_hold_value,miss_top_k_value
MO,22.8352,-11.9163,34.7515,22.4528,19.817,1228351.7912,880837.1547
NSC,26.6494,-8.0246,34.674,19.7579,16.4673,1266493.6045,919753.5558
UNP,22.7117,-11.9068,34.6185,21.3983,17.9377,1227117.2443,880932.0337
PNC,31.4005,-2.6978,34.0983,21.1555,19.1987,1314005.3409,973022.2823
HON,14.3487,-19.5882,33.9369,22.0509,18.7659,1143486.9796,804118.2737
TFC,28.4562,-5.1994,33.6556,22.7911,21.0021,1284562.4363,948006.0554
D,23.1221,-10.5315,33.6535,20.2805,16.4461,1231220.6941,894685.4922
APD,2.6533,-30.4329,33.0863,24.7809,20.587,1026533.3174,695670.5217
BLK,9.2411,-23.4159,32.6571,25.3919,22.8535,1092411.4856,765840.7022
LMT,13.0308,-19.3283,32.359,26.6124,24.6417,1130307.779,806717.3054
MLM,7.8114,-23.5975,31.4089,24.6125,22.1409,1078113.9378,764025.0725
AXP,8.2813,-22.5789,30.8602,25.9075,23.5665,1082813.1977,774211.4889
WFC,6.0511,-24.8043,30.8554,26.5056,24.1296,1060511.2915,751957.3974
TJX,21.9667,-7.909,29.8756,17.6173,15.1472,1219666.5154,920910.1473
BAC,19.6928,-10.0825,29.7753,21.377,19.6203,1196928.1063,899175.2354
VMC,8.2,-21.1317,29.3317,25.0156,23.0558,1081999.856,788682.7323
ITW,4.4866,-24.4594,28.9461,20.3466,17.4617,1044866.1959,755405.591
MET,8.2529,-19.6911,27.944,22.8542,21.0214,1082529.0865,803089.1657
JPM,15.2917,-12.6328,27.9245,21.4701,19.8063,1152916.8668,873672.2093
KO,12.9172,-12.4427,25.3599,15.9342,13.7361,1129172.2598,875572.8337
CB,4.5918,-19.6422,24.234,17.4183,15.1786,1045917.6955,803577.5783
PRU,2.4182,-21.6179,24.036,22.407,21.024,1024181.5045,783821.3636
SCHW,0.395,-23.2216,23.6165,23.9718,22.7311,1003949.9853,767784.4869
SO,5.691,-17.0411,22.7321,15.6216,13.5115,1056910.1588,829588.7632
LIN,8.5742,-13.9627,22.5369,16.949,15.4354,1085741.5995,860372.9967
DUK,8.35,-10.7378,19.0878,14.2462,13.0275,1083499.7332,892622.0321
