moving_unscreened_5,moving_unscreened_10,moving_unscreened_21,moving_screened_5,moving_screened_10,moving_screened_21,circular_unscreened_5,circular_unscreened_10,circular_unscreened_21,circular_screened_5,circular_screened_10,circular_screened_21,stationary_unscreened_5,stationary_unscreened_10,stationary_unscreened_21,stationary_screened_5,stationary_screened_10,stationary_screened_21
4.545865563099877,4.084237248785879,1.0890799476752486,4.531634851503801,5.093571953178354,2.0464048188581856,3.3702447625555543,3.408273070655841,2.209670780199028,3.5951801319502286,5.0842409573522716,2.3813043547989463,2.8034234283787223,1.8814152283640961,5.057693766264988,3.182426877118148,2.740919366105619,6.139614001370392
3.008987627400132,1.3273687364589395,3.602503214965302,3.509499542031537,1.862845123771381,4.306821170286002,3.200545948606327,2.3791438367427244,5.759280266831519,3.6256225982552643,2.522000608250326,6.223782681216017,4.88717168040393,3.277503357248245,2.7250758421196664,5.252437548472115,3.7949202756078546,3.0274448463966803
3.8293881768027425,0.8519616014388787,2.9455677729328658,4.731577238026434,1.751371679114325,3.4580212170695286,3.6249499855973633,3.3696131509689935,2.531926294835348,5.452674498141201,3.919376483079136,3.6219071051284852,2.5052566235543012,5.1931999750441715,2.35597779812658,3.4781039806072624,5.353810411669641,2.859940693211595
5.377750673956039,3.8659093205003834,1.8890818223363397,6.929290447705587,4.384402250665886,2.1862807440756717,3.321303698154498,3.4832999459313205,2.964356784495681,4.148141333339779,3.9739099139737126,3.8505961271647116,3.367235030478619,1.6732312689480178,3.1216150411398376,3.6142605632996117,2.1083720272372752,3.3746412812392146
3.9936304180313056,3.8473484112440715,1.7654876765815923,4.29065940219189,3.828416262797332,2.568170844961761,3.0323430773462867,5.871148280517648,2.1216640731869316,3.2689183214948603,6.142115727595816,2.3674360448940988,1.1691552367881117,2.0492367567467724,1.5918019902996898,1.5420458530930916,2.4763389825416358,2.176266947446198
3.971262621653445,2.1383905354083925,2.060571447288766,4.161456813936308,2.598309558330888,2.8978192271964263,4.549265413003198,4.033932743697781,8.134592182327554,5.237321568307747,4.175923929667636,9.858855949509175,3.4181436426591585,2.608517473786734,2.815223853283552,4.127938070244987,3.6474510488047205,3.1133127397493263
3.568271623862285,3.502420108209068,2.078536111128895,4.061266489260212,3.6048743608651854,2.724904940424006,0.9438592722581666,3.3508801015066885,1.5213571724666992,2.0333986822138153,3.4901309267873155,2.090527774433239,3.2298034658649457,1.6777568933409104,1.0282837630121138,3.1106348251955027,2.647288448401917,1.6479276039445703
0.9772583676370948,3.476807942184624,3.1792732217500577,1.8880152831067991,3.9660529455743414,3.135714011869985,2.669235495126756,4.393704386716455,3.7344852789163236,3.442867580773838,5.54783286162698,3.668928908354431,4.135054439327246,5.451400227812197,7.215290942116077,4.3891300080669025,5.554611094722343,7.8539158929239585
1.4334716529356435,2.6726941838539036,2.8394451518390564,2.1033208787852677,3.631785937015029,3.494087437347953,3.2114592533559203,2.2727234183962457,7.117595994743422,3.4223369345528174,3.119724292615573,8.530798567574388,7.403480984394195,2.8202692389231094,4.297914097922426,9.621691236438577,2.8245571018892255,4.679848839793939
1.4149481375073236,6.58756293495819,4.532894906300856,1.8217746873495242,6.621531708423419,4.523242805231643,1.7890073450729864,6.824056938798434,3.824319296607649,2.03542737471832,6.821307643328764,4.707114060362879,2.1435261571264626,3.57479964870182,1.7435966395921683,2.8926838683830276,4.388249111392234,2.3592845319740676
