simple_fixed_median_gap,simple_fixed_r_squared,simple_fixed_leaveout_r_squared,simple_fixed_flip_rate,simple_recomputed_median_gap,simple_recomputed_r_squared,simple_recomputed_leaveout_r_squared,simple_recomputed_flip_rate,log_fixed_median_gap,log_fixed_r_squared,log_fixed_leaveout_r_squared,log_fixed_flip_rate,log_recomputed_median_gap,log_recomputed_r_squared,log_recomputed_leaveout_r_squared,log_recomputed_flip_rate
40.12608151110545,0.5917247943332873,0.5930927778475799,73.73737373737373,40.12608151110545,0.5961223392635941,0.5930927778475799,73.73737373737373,39.9886740290297,0.5977482799491636,0.572519799477103,72.72727272727273,39.9886740290297,0.5762477482642714,0.572519799477103,72.72727272727273
39.559432323353704,0.5866050894662173,0.5877486265076142,74.74747474747475,39.559432323353704,0.5930126444171657,0.5877486265076142,74.74747474747475,39.59571923424369,0.5927082818114715,0.5689359827763021,74.74747474747475,39.59571923424369,0.5734816528753149,0.5689359827763021,74.74747474747475
40.37861103265268,0.5803853562627681,0.5764786178573753,73.73737373737373,40.37861103265268,0.5865958698530245,0.5764786178573753,73.73737373737373,40.27283346807532,0.5861496826735818,0.55781941815506,72.72727272727273,40.27283346807532,0.5672453896809964,0.55781941815506,72.72727272727273
39.7140852281141,0.597750166442092,0.6026912356277365,72.72727272727273,39.7140852281141,0.6016280105933125,0.6026912356277365,72.72727272727273,39.60797033907466,0.6039933046157937,0.5825873702804978,72.72727272727273,39.60797033907466,0.5817789577599253,0.5825873702804978,72.72727272727273
39.952194313311416,0.5925812411367631,0.5913107263001464,71.71717171717171,39.952194313311416,0.5956687381736685,0.5913107263001464,71.71717171717171,39.9371594560761,0.5983620724791354,0.5745827013927893,71.71717171717171,39.9371594560761,0.5770324253667839,0.5745827013927893,71.71717171717171
38.89432948815138,0.5768938800625856,0.5649020473303445,72.72727272727273,38.89432948815138,0.5832690833436369,0.5649020473303445,72.72727272727273,39.29418776275493,0.5827604782469963,0.5446092255022725,72.72727272727273,39.29418776275493,0.5632431822855026,0.5446092255022725,72.72727272727273
39.93298389159923,0.5871360841649568,0.5886021700175292,72.72727272727273,39.93298389159923,0.5909225601522574,0.5886021700175292,72.72727272727273,39.87026854693223,0.5929785979857072,0.5716844885787701,71.71717171717171,39.87026854693223,0.5721221443427862,0.5716844885787701,71.71717171717171
39.847788967072105,0.5943113024152855,0.5967081332165354,73.73737373737373,39.847788967072105,0.5980450176614321,0.5967081332165354,73.73737373737373,39.74136486605602,0.6001486479056342,0.576985751008307,73.73737373737373,39.74136486605602,0.5787969117413396,0.576985751008307,73.73737373737373
40.79653618720963,0.578219364849109,0.5715414429898913,71.71717171717171,40.79653618720963,0.5834383568311692,0.5715414429898913,71.71717171717171,41.152011618981746,0.5838147662913924,0.5528680521554439,71.71717171717171,41.152011618981746,0.5644729810899964,0.5528680521554439,71.71717171717171
40.01864438979603,0.5784883819907506,0.5677744942778082,72.72727272727273,40.01864438979603,0.5840448350333849,0.5677744942778082,72.72727272727273,40.06480279682594,0.5840011279742103,0.5492436235327212,72.72727272727273,40.06480279682594,0.5648975006956777,0.5492436235327212,72.72727272727273
39.559945303116216,0.5854331903620896,0.5814069425880652,72.72727272727273,39.559945303116216,0.5900127256214918,0.5814069425880652,72.72727272727273,40.816644967515394,0.5915100375239968,0.5614250181282971,71.71717171717171,40.816644967515394,0.5701520074622994,0.5614250181282971,71.71717171717171
